epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.481,1.06691,3.89103,1.16203,0.19244,0.20634,0.12226,0.09604,2.07821,4.13087,1.36279,0.000255582,0.000255582,0.000255582
2,766.054,1.14158,2.36949,1.17096,0.21734,0.23609,0.14042,0.10563,2.10903,3.5658,1.38282,0.000486575,0.000486575,0.000486575
3,1147.06,1.16366,2.28203,1.18687,0.31463,0.19429,0.15572,0.11493,2.14825,3.01285,1.38611,0.000692192,0.000692192,0.000692192
4,1518.89,1.14007,2.13879,1.17095,0.34983,0.24323,0.18153,0.13938,2.07195,3.04089,1.31684,0.000654804,0.000654804,0.000654804
5,1885.6,1.0739,1.97386,1.13785,0.31083,0.22811,0.17293,0.13572,2.06542,3.68819,1.29842,0.000616738,0.000616738,0.000616738
6,2256.73,1.04082,1.8403,1.12142,0.38638,0.26773,0.23812,0.19436,2.02711,2.75625,1.26243,0.000578672,0.000578672,0.000578672
7,2633.5,0.99111,1.73848,1.09693,0.46195,0.26817,0.25172,0.20977,1.99519,2.84044,1.21565,0.000540607,0.000540607,0.000540607
8,3019.38,0.95234,1.59135,1.07962,0.53093,0.29943,0.27617,0.23206,1.99055,2.57676,1.25652,0.000502541,0.000502541,0.000502541
9,3399.5,0.92392,1.52878,1.06123,0.60961,0.29008,0.30793,0.26182,1.93819,2.57487,1.20147,0.000464476,0.000464476,0.000464476
10,3782.46,0.89807,1.45169,1.05031,0.58637,0.30419,0.3135,0.26502,1.88849,2.54173,1.18502,0.000426411,0.000426411,0.000426411
11,4160.61,0.77515,1.32878,0.97251,0.57357,0.32221,0.32455,0.27403,1.91385,2.38995,1.18974,0.000388345,0.000388345,0.000388345
12,4530.83,0.74426,1.23952,0.961,0.62533,0.31774,0.3382,0.28978,1.96537,2.31708,1.1865,0.00035028,0.00035028,0.00035028
13,4904.93,0.71251,1.15781,0.93743,0.6527,0.33256,0.3578,0.30643,1.82898,2.3161,1.22499,0.000312214,0.000312214,0.000312214
14,5278.78,0.69166,1.08576,0.93949,0.67484,0.33718,0.3559,0.30756,1.81838,2.16692,1.21507,0.000274148,0.000274148,0.000274148
15,5652.01,0.66238,1.00466,0.9245,0.69374,0.34649,0.36622,0.31912,1.83768,2.21495,1.16596,0.000236083,0.000236083,0.000236083
16,6027.71,0.64938,0.96188,0.90865,0.72706,0.33965,0.37411,0.32635,1.76182,2.12044,1.17819,0.000198018,0.000198018,0.000198018
17,6419.41,0.62051,0.86822,0.89722,0.73684,0.35314,0.38524,0.33818,1.7639,2.1807,1.15013,0.000159952,0.000159952,0.000159952
18,6830.43,0.59709,0.82221,0.88839,0.73833,0.36283,0.39589,0.34781,1.72406,2.0648,1.14751,0.000121887,0.000121887,0.000121887
19,7214.55,0.58314,0.78897,0.88452,0.78507,0.36013,0.39975,0.35256,1.72565,2.01034,1.13926,8.3821e-05,8.3821e-05,8.3821e-05
20,7603.69,0.56216,0.73188,0.88132,0.74071,0.3672,0.40169,0.3545,1.69543,1.98597,1.13336,4.57555e-05,4.57555e-05,4.57555e-05
